collectionevent,Conditionsid,ampm,technique,color,HostPlant,Host.plant.nosp,Transect
20021453,195,all day,pan traps,blue,pantrap,pantrap,T2
20021454,195,all day,pan traps,white,pantrap,pantrap,T1
20021455,195,all day,pan traps,white,pantrap,pantrap,T2
20021456,196,all day,pan traps,yellow,pantrap,pantrap,T1
20021457,196,all day,pan traps,yellow,pantrap,pantrap,T2
20021458,196,all day,pan traps,blue,pantrap,pantrap,T1
20021459,196,all day,pan traps,blue,pantrap,pantrap,T2
20021460,196,all day,pan traps,white,pantrap,pantrap,T1
20021461,196,all day,pan traps,white,pantrap,pantrap,T2
20021462,108,all day,pan traps,blue,pantrap,pantrap,T1
20021463,180,all day,pan traps,,pantrap,pantrap,
20021464,27,all day,pan traps,white,pantrap,pantrap,T2
20021465,19,all day,pan traps,,pantrap,pantrap,
20021466,178,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20021467,58,AM,netting,,Cirsium vulgare,Cirsium vulgare,
20021468,42,PM,netting,,Patrolling,Patrolling,
20021469,49,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20021470,8,PM,netting,,Patrolling,Patrolling,
20021471,35,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20021472,43,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20021473,37,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20021474,24,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20021475,24,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20021476,24,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20021477,24,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20021478,24,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20021479,11,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20021480,11,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20021481,4,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021482,4,AM,netting,,Hypochaeris glabra,Hypochaeris glabra,
20021483,4,PM,netting,,Vicia sativa,Vicia sativa,
20021484,58,AM,netting,,Cirsium vulgare,Cirsium vulgare,
20021485,58,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20021486,58,AM,netting,,Lupinus bicolor,Lupinus bicolor,
20021487,58,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20021488,58,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20021489,58,AM,netting,,Lupinus sp.,Lupinus bicolor,
20021490,58,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20021491,58,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20021492,58,PM,netting,,Lupinus sp.,Lupinus bicolor,
20021493,58,PM,netting,,Lupinus sp.,Lupinus bicolor,
20021495,62,AM,netting,,Wyethia angustifolia,Wyethia angustifolia,
20021497,62,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20021499,62,PM,netting,,Wyethia angustifolia,Wyethia angustifolia,
20021500,62,PM,netting,,Patrolling,Patrolling,
20021502,62,PM,netting,,Cirsium vulgare,Cirsium vulgare,
20021503,26,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20021505,26,AM,netting,,Patrolling,Patrolling,
20021506,26,AM,netting,,Cirsium vulgare,Cirsium vulgare,
20021508,26,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20021509,26,PM,netting,,Patrolling,Patrolling,
20021510,26,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20021511,54,AM,netting,,Cirsium vulgare,Cirsium vulgare,
20021512,54,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20021513,54,PM,netting,,Cirsium vulgare,Cirsium vulgare,
20021514,30,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20021515,30,AM,netting,,Cirsium vulgare,Cirsium vulgare,
20021517,30,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20021518,30,PM,netting,,Cirsium vulgare,Cirsium vulgare,
20021519,46,AM,netting,,Patrolling,Patrolling,
20021520,46,AM,netting,,Mimulus aurantiacus,Mimulus aurantiacus,
20021521,46,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021522,46,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20021523,46,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021524,46,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20021525,12,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021526,12,AM,netting,,Patrolling,Patrolling,
20021529,38,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021530,38,AM,netting,,Patrolling,Patrolling,
20021532,38,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021533,5,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021534,5,AM,netting,,Lupinus sp.,Lupinus bicolor,
20021535,5,AM,netting,,Taraxacum officinale,Taraxacum sp.,
20021536,5,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20021537,5,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20021538,5,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021539,5,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20021540,56,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021541,56,AM,netting,,Brodiaea elegans,Brodiaea elegans,
20021542,56,AM,netting,,Wyethia angustifolia,Wyethia angustifolia,
20021543,56,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021544,1,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021545,1,AM,netting,,Triteleia laxa,Triteleia laxa,
20021546,1,AM,netting,,Stachys ajugoides,Stachys ajugoides,
20021547,1,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021548,115,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20021549,116,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021550,117,AM,netting,,on ground,on ground,
20021551,117,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20021552,118,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021553,118,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021554,119,AM,netting,,Rubus discolor,Rubus discolor,
20021555,119,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021556,119,AM,netting,,Hypochaeris glabra,Hypochaeris glabra,
20021557,119,AM,netting,,Aesculus californica,Aesculus californica,
20021558,119,PM,netting,,Rubus discolor,Rubus discolor,
20021559,119,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021560,130,AM,netting,,Aesculus californica,Aesculus californica,
20021561,131,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20021562,131,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20021563,122,AM,netting,,Triteleia laxa,Triteleia laxa,
20021564,122,AM,netting,,Triteleia laxa,Triteleia laxa,
20021565,122,AM,netting,,Aesculus californica,Aesculus californica,
20021566,122,PM,netting,,Aesculus californica,Aesculus californica,
20021567,122,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021568,122,PM,netting,,Aesculus californica,Aesculus californica,
20021569,123,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021570,124,AM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20021571,125,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20021572,126,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021573,126,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021574,127,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021575,127,AM,netting,,Rubus discolor,Rubus discolor,
20021576,127,AM,netting,,Clarkia purpurea,Clarkia purpurea,
20021577,127,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021578,127,PM,netting,,Rubus discolor,Rubus discolor,
20021579,127,PM,netting,,Aesculus californica,Aesculus californica,
20021580,128,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20021581,96,AM,netting,,Patrolling,Patrolling,
20021582,99,AM,netting,,Aesculus californica,Aesculus californica,
20021583,99,PM,netting,,Aesculus californica,Aesculus californica,
20021584,100,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021585,100,AM,netting,,Rubus discolor,Rubus discolor,
20021586,100,PM,netting,,Aesculus californica,Aesculus californica,
20021587,100,PM,netting,,Rubus discolor,Rubus discolor,
20021588,101,AM,netting,,Centaurea calcitrapa,Centaurea calcitrapa,
20021589,101,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021590,101,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021591,101,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20021592,101,PM,netting,,Centaurea calcitrapa,Centaurea calcitrapa,
20021593,103,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021594,105,AM,netting,,on ground,on ground,
20021595,105,PM,netting,,Patrolling,Patrolling,
20021596,107,PM,netting,,Eschscholzia californica,Eschscholzia californica,
20021597,109,PM,netting,,Aesculus californica,Aesculus californica,
20021598,113,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021599,113,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021600,136,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021601,137,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021602,137,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021603,137,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021604,137,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021605,139,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021606,140,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021607,140,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021608,143,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021609,145,PM,netting,,Mentha pulegium,Mentha pulegium,
20021610,147,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021611,147,AM,netting,,Centaurea calcitrapa,Centaurea calcitrapa,
20021612,174,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021613,174,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021614,177,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021615,178,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021616,150,AM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20021617,150,PM,netting,,Hirschfeldia incana,Hirschfeldia incana,
20021618,157,AM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021619,157,PM,netting,,Centaurea solstitialis,Centaurea solstitialis,
20021620,154,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20021621,165,PM,netting,,Centaurea calcitrapa,Centaurea calcitrapa,
20021622,51,AM,netting,,Cirsium vulgare,Cirsium vulgare,
20021623,51,PM,netting,,Cirsium vulgare,Cirsium vulgare,
20021624,143,PM,,,Patrolling,Patrolling,
20021625,168,PM,netting,,Tropidocarpum gracile,Tropidocarpum gracile,
20030001,191,all day,pan traps,mixed,pantrap,pantrap,T1
20030002,191,all day,pan traps,mixed,pantrap,pantrap,T2
20030003,191,AM,netting,,Patrolling,Patrolling,
20030004,191,AM,netting,,Amsinckia menziesii,Amsinckia menziesii,
20030005,191,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030006,191,AM,netting,,Claytonia perfoliata,Claytonia perfoliata,
20030007,191,AM,netting,,Patrolling,Patrolling,
20030008,191,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030009,191,PM,netting,,Nemophila heterophylla,Nemophila heterophylla,
20030010,191,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030011,191,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030012,191,PM,netting,,Patrolling,Patrolling,
20030013,192,all day,pan traps,mixed,pantrap,pantrap,T1
20030014,192,all day,pan traps,mixed,pantrap,pantrap,T2
20030015,192,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030016,192,AM,netting,,Patrolling,Patrolling,
20030017,192,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030018,192,AM,netting,,Patrolling,Patrolling,
20030019,192,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20030020,192,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030021,192,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030022,192,PM,netting,,Patrolling,Patrolling,
20030023,193,all day,pan traps,mixed,pantrap,pantrap,T1
20030024,193,all day,pan traps,mixed,pantrap,pantrap,T2
20030025,193,AM,netting,,Patrolling,Patrolling,
20030026,193,AM,netting,,Claytonia perfoliata,Claytonia perfoliata,
20030027,193,AM,netting,,Patrolling,Patrolling,
20030028,193,AM,netting,,Claytonia perfoliata,Claytonia perfoliata,
20030029,193,AM,netting,,Poaceae,Poaceae sp.,
20030030,193,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030031,193,PM,netting,,Claytonia perfoliata,Claytonia perfoliata,
20030032,193,PM,netting,,Patrolling,Patrolling,
20030033,197,all day,pan traps,mixed,pantrap,pantrap,T1
20030034,197,all day,pan traps,mixed,pantrap,pantrap,T2
20030035,197,AM,netting,,Trifolium subterraneum,Trifolium subterraneum,
20030036,197,AM,netting,,Patrolling,Patrolling,
20030037,197,AM,netting,,Geranium dissectum,Geranium dissectum,
20030038,197,PM,netting,,Trifolium subterraneum,Trifolium subterraneum,
20030039,197,PM,netting,,Trifolium subterraneum,Trifolium subterraneum,
20030040,197,PM,netting,,Sanicula bipinnatifida,Sanicula bipinnatifida,
20030041,197,PM,netting,,Geranium dissectum,Geranium dissectum,
20030042,198,all day,pan traps,mixed,pantrap,pantrap,T1
20030043,198,all day,pan traps,mixed,pantrap,pantrap,T2
20030044,198,AM,netting,,Patrolling,Patrolling,
20030045,198,AM,netting,,Sanicula bipinnatifida,Sanicula bipinnatifida,
20030046,198,AM,netting,,Plagiobothyrs sp.,Plagiobothrys nothofulvus,
20030047,198,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030048,198,AM,netting,,Rhaphanus sativus,Rhaphanus sativus,
20030049,198,AM,netting,,Brassicaceae,Brassicaceae,
20030050,198,AM,netting,,Lasthenia californica,Lasthenia californica,
20030051,198,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030052,198,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030053,198,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030054,198,PM,netting,,Lupinus nanus,Lupinus nanus,
20030055,198,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030056,198,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030057,199,all day,pan traps,mixed,pantrap,pantrap,T1
20030058,199,all day,pan traps,mixed,pantrap,pantrap,T2
20030059,199,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030060,199,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030061,199,AM,netting,,Claytonia perfoliata,Claytonia perfoliata,
20030062,199,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030063,199,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030064,199,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030065,199,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030066,199,PM,netting,,Patrolling,Patrolling,
20030067,200,all day,pan traps,mixed,pantrap,pantrap,T1
20030068,200,all day,pan traps,mixed,pantrap,pantrap,T2
20030069,200,AM,netting,,Ranunculus sp.,,
20030070,200,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030071,200,AM,netting,,Patrolling,Patrolling,
20030072,200,AM,netting,,Plectritis congesta,Plectritis sp.,
20030073,200,PM,netting,,Ranunculus sp.,,
20030074,200,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030075,200,PM,netting,,Patrolling,Patrolling,
20030076,200,PM,netting,,Plectritis congesta,Plectritis sp.,
20030077,200,PM,netting,,Dichelostemma capitatum,Dichelostemma capitatum,
20030078,200,PM,netting,,Sisyrinchium bellum,Sisyrinchium bellum,
20030079,200,PM,netting,,Geranium dissectum,Geranium dissectum,
20030080,201,all day,pan traps,mixed,pantrap,pantrap,T1
20030081,201,all day,pan traps,mixed,pantrap,pantrap,T2
20030082,201,AM,netting,,Ranunculus sp.,Ranunculus sp.,
20030083,201,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030084,201,AM,netting,,Patrolling,Patrolling,
20030085,201,PM,netting,,Ranunculus sp.,Ranunculus sp.,
20030086,201,PM,netting,,Patrolling,Patrolling,
20030087,201,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030088,201,PM,netting,,Sanicula bipinnatifida,Sanicula bipinnatifida,
20030089,202,all day,pan traps,mixed,pantrap,pantrap,T1
20030090,202,all day,pan traps,mixed,pantrap,pantrap,T2
20030091,202,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030092,202,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20030093,202,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030094,202,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030095,203,all day,pan traps,mixed,pantrap,pantrap,T1
20030096,203,all day,pan traps,mixed,pantrap,pantrap,T2
20030097,203,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030098,204,all day,pan traps,mixed,pantrap,pantrap,T1
20030099,204,all day,pan traps,mixed,pantrap,pantrap,T2
20030100,204,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030101,204,AM,netting,,Lupinus nanus,Lupinus nanus,
20030102,204,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030103,204,AM,netting,,Patrolling,Patrolling,
20030104,205,all day,pan traps,mixed,pantrap,pantrap,T1
20030105,205,all day,pan traps,mixed,pantrap,pantrap,T2
20030106,205,AM,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
20030107,205,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030108,205,AM,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
20030109,205,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030110,205,AM,netting,,Patrolling,Patrolling,
20030111,205,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030112,205,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030113,205,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030114,205,PM,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
20030115,205,PM,netting,,Patrolling,Patrolling,
20030116,206,all day,pan traps,mixed,pantrap,pantrap,T1
20030117,206,all day,pan traps,mixed,pantrap,pantrap,T2
20030118,206,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030119,206,AM,netting,,Geranium molle,Geranium molle,
20030120,206,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030121,206,AM,netting,,Patrolling,Patrolling,
20030122,206,PM,netting,,Geranium molle,Geranium molle,
20030123,206,PM,netting,,Scandix pecten-veneris,Scandix pecten-veneris,
20030124,206,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030125,206,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030126,206,PM,netting,,Geranium molle,Geranium molle,
20030127,207,all day,pan traps,mixed,pantrap,pantrap,T1
20030128,207,all day,pan traps,mixed,pantrap,pantrap,T2
20030129,207,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030130,207,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030131,207,PM,netting,,Geranium robertianum,Geranium robertianum,
20030132,207,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030133,207,PM,netting,,Geranium robertianum,Geranium robertianum,
20030134,207,PM,netting,,Quercus agrifolia,Quercus agrifolia,
20030135,211,half day,pan traps,mixed,pantrap,pantrap,T1
20030136,211,half day,pan traps,mixed,pantrap,pantrap,T2
20030137,211,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030138,211,AM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030139,211,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030140,211,PM,netting,,Limnanthes douglasii,Limnanthes douglasii,
20030141,211,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20030142,212,half day,pan traps,mixed,pantrap,pantrap,T1
20030143,212,half day,pan traps,mixed,pantrap,pantrap,T2
20030144,212,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20030145,212,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030146,213,half day,pan traps,mixed,pantrap,pantrap,T1
20030147,213,half day,pan traps,mixed,pantrap,pantrap,T2
20030148,213,AM,netting,,Patrolling,Patrolling,
20030149,214,all day,pan traps,mixed,pantrap,pantrap,T1
20030150,214,all day,pan traps,mixed,pantrap,pantrap,T2
20030151,214,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030152,214,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030153,215,all day,pan traps,mixed,pantrap,pantrap,T1
20030154,215,all day,pan traps,mixed,pantrap,pantrap,T2
20030155,215,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030156,215,PM,netting,,Cirsium vulgare,Cirsium vulgare,
20030157,216,all day,pan traps,mixed,pantrap,pantrap,T1
20030158,216,all day,pan traps,mixed,pantrap,pantrap,T2
20030159,216,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030160,216,PM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20030161,216,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030162,217,all day,pan traps,mixed,pantrap,pantrap,T1
20030163,217,all day,pan traps,mixed,pantrap,pantrap,T2
20030164,217,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030165,217,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030166,217,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030167,217,AM,netting,,Trifolium wildenovii,Trifolium wildenovii,
20030168,217,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20030169,217,AM,netting,,Patrolling,Patrolling,
20030170,217,AM,netting,,Linanthus sp.,Linanthus sp.,
20030171,217,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030172,217,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030173,217,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20030174,217,PM,netting,,Patrolling,Patrolling,
20030175,217,PM,netting,,Triteleia laxa,Triteleia laxa,
20030176,217,PM,netting,,Sisyrinchium bellum,Sisyrinchium bellum,
20030177,217,PM,netting,,Hypochaeris radicata,Hypochaeris radicata,
20030178,218,all day,pan traps,mixed,pantrap,pantrap,T1
20030179,218,all day,pan traps,mixed,pantrap,pantrap,T2
20030180,218,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20030181,218,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20030182,218,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20030183,218,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030184,218,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20030185,219,all day,pan traps,mixed,pantrap,pantrap,T1
20030186,219,all day,pan traps,mixed,pantrap,pantrap,T2
20030187,219,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030188,219,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030189,219,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030190,219,AM,netting,,Lavandula stoechas,Lavandula stoechas,
20030191,219,AM,netting,,Lupinus nanus,Lupinus nanus,
20030192,219,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030193,219,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030194,219,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030195,219,PM,netting,,Patrolling,Patrolling,
20030196,220,all day,pan traps,mixed,pantrap,pantrap,T1
20030197,220,all day,pan traps,mixed,pantrap,pantrap,T2
20030198,220,AM,netting,,Lupinus bicolor,Lupinus bicolor,
20030199,220,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20030200,220,AM,netting,,Patrolling,Patrolling,
20030201,220,AM,netting,,Wyethia angustifolia,Wyethia angustifolia,
20030202,220,AM,netting,,Hypochaeris sp.,,
20030203,220,AM,netting,,Sisyrinchium bellum,Sisyrinchium bellum,
20030204,220,PM,netting,,Wyethia angustifolia,Wyethia angustifolia,
20030205,220,PM,netting,,Wyethia angustifolia,Wyethia angustifolia,
20030206,220,PM,netting,,Hypochaeris sp.,,
20030207,220,PM,netting,,Geranium molle,Geranium molle,
20030208,221,all day,pan traps,mixed,pantrap,pantrap,T1
20030209,221,all day,pan traps,mixed,pantrap,pantrap,T2
20030210,221,AM,netting,,Hypochaeris sp.,Hypochaeris radicata,
20030211,221,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20030212,221,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20030213,221,PM,netting,,Dichelostemma capitatum,Dichelostemma capitatum,
20030214,221,PM,netting,,Geranium molle,Geranium molle,
20030215,222,all day,pan traps,mixed,pantrap,pantrap,T1
20030216,222,all day,pan traps,mixed,pantrap,pantrap,T2
20030217,222,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20030218,222,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030219,222,AM,netting,,Hypochaeris sp.,,
20030220,222,AM,netting,,Trifolium hirtum,Trifolium hirtum,
20030221,222,AM,netting,,Hypochaeris sp.,,
20030222,222,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030223,222,PM,netting,,Patrolling,Patrolling,
20030224,223,all day,pan traps,mixed,pantrap,pantrap,T1
20030225,223,all day,pan traps,mixed,pantrap,pantrap,T2
20030226,223,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030227,223,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030228,223,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030229,224,all day,pan traps,mixed,pantrap,pantrap,T1
20030230,224,all day,pan traps,mixed,pantrap,pantrap,T2
20030231,224,AM,netting,,Hypochaeris sp.,Hypochaeris radicata,
20030232,224,AM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20030233,224,AM,netting,,Lupinus sp.,Lupinus sp.,
20030234,224,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20030235,225,all day,pan traps,mixed,pantrap,pantrap,T1
20030236,225,all day,pan traps,mixed,pantrap,pantrap,T2
20030237,225,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030238,225,AM,netting,,Ranunculus sp.,Ranunculus californicus,
20030239,225,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030240,225,PM,netting,,Ranunculus sp.,Ranunculus californicus,
20030241,225,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20030242,227,all day,pan traps,mixed,pantrap,pantrap,T1
20030243,227,all day,pan traps,mixed,pantrap,pantrap,T2
20030244,227,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030245,227,AM,netting,,Hypochaeris sp.,Hypochaeris sp.,
20030246,227,AM,netting,,Eschscholzia californica,Eschscholzia californica,
20030247,227,AM,netting,,Hypochaeris sp.,Hypochaeris sp.,
20030248,227,AM,netting,,Vicia benghalensis,Vicia benghalensis,
20030249,227,AM,netting,,Patrolling,Patrolling,
20030250,227,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030251,227,PM,netting,,Clarkia purpurea,Clarkia purpurea,
20030253,227,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030254,227,PM,netting,,Trifolium hirtum,Trifolium hirtum,
20030255,227,PM,netting,,Carduus pycnocephalus,Carduus pycnocephalus,
20030256,227,PM,netting,,Vicia benghalensis,Vicia benghalensis,
20030257,227,PM,netting,,Patrolling,Patrolling,
20030258,227,PM,netting,,Lavandula stoechas,Lavandula stoechas,
20030259,228,all day,pan traps,mixed,pantrap,pantrap,T1
20030260,228,all day,pan traps,mixed,pantrap,pantrap,T2
20030261,228,AM,netting,,Patrolling,Patrolling,
20030262,228,AM,netting,,Hypochaeris sp.,,
